hand_p1,hand_p2,E[p1],E[p2],emp_p1,emp_p2,VAR[p1],VAR[p2]
"(('H', 3), ('S', 8), ('D', 10), ('D', 11))","(('C', 2), ('D', 5), ('D', 9), ('C', 13))",0.0,0.0,-0.0004,0.0074,0.6153846153846154,0.6153846153846154
"(('D', 2), ('H', 5), ('C', 7), ('H', 13))","(('D', 3), ('D', 10), ('S', 11), ('D', 12))",0.0,0.0,0.0279,-0.0078,0.6153846153846154,0.6153846153846154
"(('S', 4), ('C', 4), ('S', 5), ('D', 14))","(('H', 4), ('C', 6), ('D', 7), ('C', 10))",0.7692307692307696,-0.7692307692307696,0.7619,-0.7714,0.1775147928994084,0.1775147928994084
"(('S', 2), ('S', 11), ('S', 12), ('D', 12))","(('S', 4), ('D', 7), ('S', 13), ('C', 14))",0.6923076923076925,-0.6923076923076925,0.6935,-0.6947,0.21301775147928978,0.21301775147928978
"(('D', 3), ('D', 4), ('S', 8), ('D', 10))","(('S', 3), ('C', 4), ('C', 6), ('D', 7))",-0.07692307692307693,0.07692307692307693,-0.0835,0.0719,0.37869822485207133,0.37869822485207133
"(('H', 5), ('C', 6), ('H', 8), ('D', 13))","(('S', 2), ('D', 4), ('D', 5), ('D', 12))",0.0,0.0,-0.0064,-0.0118,0.46153846153846134,0.46153846153846134
"(('H', 4), ('C', 6), ('S', 10), ('H', 12))","(('S', 3), ('D', 4), ('H', 8), ('D', 11))",0.0,0.0,0.0028,-0.0046,0.46153846153846134,0.46153846153846134
"(('D', 2), ('S', 4), ('S', 11), ('D', 12))","(('S', 5), ('C', 7), ('D', 8), ('H', 10))",0.0,0.0,0.006,-0.0041,0.6153846153846154,0.6153846153846154
"(('D', 2), ('C', 5), ('D', 6), ('S', 13))","(('C', 3), ('H', 4), ('C', 7), ('H', 14))",0.0,0.0,0.0012,0.0054,0.6153846153846154,0.6153846153846154
"(('H', 2), ('S', 8), ('H', 10), ('S', 14))","(('C', 2), ('C', 4), ('D', 6), ('C', 13))",0.0,0.0,0.0162,0.0067,0.46153846153846134,0.46153846153846134
"(('H', 2), ('C', 6), ('D', 10), ('H', 12))","(('S', 3), ('S', 8), ('D', 9), ('D', 12))",0.0,0.0,-0.0102,0.0006,0.46153846153846134,0.46153846153846134
"(('S', 2), ('S', 3), ('D', 8), ('C', 13))","(('C', 2), ('D', 7), ('C', 8), ('H', 14))",0.0,0.0,0.008,-0.0042,0.3076923076923076,0.3076923076923076
